-12912722.0748815648	  inf
-11353671.6663544420	1.20738e-01
-11234757.0271341614	1.04737e-02
-11153049.3094694503	7.27276e-03
-11096925.8340269607	5.03212e-03
-11056848.7970566116	3.61154e-03
-11027269.2914570421	2.67522e-03
-11004482.3265504632	2.06642e-03
-10986184.1119672377	1.66280e-03
-10971780.2651834525	1.31109e-03
-10960619.5164732039	1.01722e-03
-10951646.7451939173	8.18637e-04
-10944223.9074015133	6.77783e-04
-10937972.9078789968	5.71169e-04
-10932645.3851553798	4.87067e-04
-10928073.9873326141	4.18142e-04
-10924112.0055035017	3.62551e-04
-10920628.5561363511	3.18877e-04
-10917519.5220326502	2.84694e-04
-10914715.3465554286	2.56851e-04
-10912177.6096577514	2.32506e-04
-10909884.9213902894	2.10104e-04
-10907821.5892855749	1.89125e-04
-10905967.1124429554	1.70013e-04
-10904292.4908209518	1.53551e-04
-10902766.3501529414	1.39958e-04
-10901361.0557520017	1.28893e-04
-10900050.0550073925	1.20260e-04
-10898796.5642382167	1.14999e-04
-10897566.5477681886	1.12858e-04
-10896362.9735369124	1.10444e-04
-10895223.9175934643	1.04535e-04
-10894166.5591725223	9.70479e-05
